forecasting,model,MAPE,MAE,RMSE
short-term,VQC (indep.),0.04805728718215358,0.02393801781462124,0.036656597665730206
short-term,VQC + MPL,0.25274682919139413,0.10758243325765164,0.13908089361921697
long-term,VQC + MPL,0.15203182115716624,0.06544107370317234,0.09188499065898716
short-term,Dense Enc (obs),0.12284560539732825,0.05846140731080603,0.10673247611873465
short-term,Dense Enc (qubits),0.129245022049211,0.06256000450614901,0.10664777213155942
short-term,Enc-VQC-Dec,0.3512468409476212,0.1535722912709022,0.19581081579047696
long-term,Enc-VQC-Dec,0.25573939412879326,0.10410567717169342,0.13192432025143894
short-term,Data re-upload,0.06256488764085048,0.028874117927202035,0.03807070623265739
short-term,1D Classical CNN,0.3339219500228097,0.13222060548520528,0.15802621413958226
long-term,1D Classical CNN,0.3264729181311597,0.12927331243177864,0.15543637577276936
long-term,iTransformer,0.05761374694699968,0.025740755832995718,0.04176734224030752
short-term,iTransformer,0.008616031545585339,0.004164961329035254,0.006803512494323709
short-term,iQTransformer,0.03618997637773039,0.016124441890488384,0.024664060873689955
long-term,iQTransformer,0.0691012371360905,0.03168227809047993,0.04700606220215738
